Ensembl	Gene	"Gene description"	Uniprot	Evidence
ENSG00000088836	SLC4A11	"Solute carrier family 4 member 11"	Q8NBS3	"Evidence at protein level"
ENSG00000080493	SLC4A4	"Solute carrier family 4 member 4"	Q9Y6R1	"Evidence at protein level"
ENSG00000101276	SLC52A3	"Solute carrier family 52 member 3"	Q9NQ40	"Evidence at protein level"
ENSG00000100170	SLC5A1	"Solute carrier family 5 member 1"	P13866	"Evidence at protein level"
ENSG00000105641	SLC5A5	"Solute carrier family 5 member 5"	Q92911	"Evidence at protein level"
ENSG00000115665	SLC5A7	"Solute carrier family 5 member 7"	Q9GZV3	"Evidence at protein level"
ENSG00000268104	SLC6A14	"Solute carrier family 6 member 14"	Q9UN76	"Evidence at protein level"
ENSG00000197106	SLC6A17	"Solute carrier family 6 member 17"	Q9H1V8	"Evidence at protein level"
ENSG00000164363	SLC6A18	"Solute carrier family 6 member 18"	Q96N87	"Evidence at protein level"
ENSG00000174358	SLC6A19	"Solute carrier family 6 member 19"	Q695T7	"Evidence at protein level"
ENSG00000163817	SLC6A20	"Solute carrier family 6 member 20"	Q9NP91	"Evidence at protein level"
ENSG00000165970	SLC6A5	"Solute carrier family 6 member 5"	Q9Y345	"Evidence at protein level"
ENSG00000196517	SLC6A9	"Solute carrier family 6 member 9"	P48067	"Evidence at protein level"
ENSG00000013293	SLC7A14	"Solute carrier family 7 member 14"	Q8TBB6	"Evidence at protein level"
ENSG00000021488	SLC7A9	"Solute carrier family 7 member 9"	P82251	"Evidence at protein level"
ENSG00000090020	SLC9A1	"Solute carrier family 9 member A1"	P19634	"Evidence at protein level"
ENSG00000066230	SLC9A3	"Solute carrier family 9 member A3"	P48764	"Evidence at protein level"
ENSG00000109062	SLC9A3R1	"SLC9A3 regulator 1"	O14745	"Evidence at protein level"
ENSG00000198689	SLC9A6	"Solute carrier family 9 member A6"	Q92581	"Evidence at protein level"
ENSG00000181804	SLC9A9	"Solute carrier family 9 member A9"	Q8IVB4	"Evidence at protein level"
ENSG00000134538	SLCO1B1	"Solute carrier organic anion transporter family member 1B1"	Q9Y6L6	"Evidence at protein level"
ENSG00000111700	SLCO1B3	"Solute carrier organic anion transporter family member 1B3"	Q9NPD5	"Evidence at protein level"
ENSG00000174640	SLCO2A1	"Solute carrier organic anion transporter family member 2A1"	Q92959	"Evidence at protein level"
ENSG00000126233	SLURP1	"Secreted LY6/PLAUR domain containing 1"	P55000	"Evidence at protein level"
ENSG00000163104	SMARCAD1	"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1"	Q9H4L7	"Evidence at protein level"
ENSG00000166311	SMPD1	"Sphingomyelin phosphodiesterase 1"	P17405	"Evidence at protein level"
ENSG00000145335	SNCA	"Synuclein alpha"	P37840	"Evidence at protein level"
ENSG00000144028	SNRNP200	"Small nuclear ribonucleoprotein U5 subunit 200"	O75643	"Evidence at protein level"
ENSG00000142168	SOD1	"Superoxide dismutase 1"	P00441	"Evidence at protein level"
ENSG00000285441	SOD2	"Superoxide dismutase 2"	P04179	"Evidence at protein level"
ENSG00000159140	SON	"SON DNA binding protein"	P18583	"Evidence at protein level"
ENSG00000134243	SORT1	"Sortilin 1"	Q99523	"Evidence at protein level"
ENSG00000021574	SPAST	Spastin	Q9UBP0	"Evidence at protein level"
ENSG00000072195	SPEG	"SPEG complex locus"	Q15772	"Evidence at protein level"
ENSG00000197912	SPG7	"SPG7, paraplegin matrix AAA peptidase subunit"	Q9UQ90	"Evidence at protein level"
ENSG00000116096	SPR	"Sepiapterin reductase"	P35270	"Evidence at protein level"
ENSG00000090054	SPTLC1	"Serine palmitoyltransferase long chain base subunit 1"	O15269	"Evidence at protein level"
ENSG00000100596	SPTLC2	"Serine palmitoyltransferase long chain base subunit 2"	O15270	"Evidence at protein level"
ENSG00000128039	SRD5A3	"Steroid 5 alpha-reductase 3"	Q9H8P0	"Evidence at protein level"
ENSG00000174780	SRP72	"Signal recognition particle 72"	O76094	"Evidence at protein level"
ENSG00000149418	ST14	"Suppression of tumorigenicity 14"	Q9Y5Y6	"Evidence at protein level"
ENSG00000126091	ST3GAL3	"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"	Q11203	"Evidence at protein level"
ENSG00000115525	ST3GAL5	"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"	Q9UNP4	"Evidence at protein level"
ENSG00000124356	STAMBP	"STAM binding protein"	O95630	"Evidence at protein level"
ENSG00000167323	STIM1	"Stromal interaction molecule 1"	Q13586	"Evidence at protein level"
ENSG00000072786	STK10	"Serine/threonine kinase 10"	O94804	"Evidence at protein level"
ENSG00000118046	STK11	"Serine/threonine kinase 11"	Q15831	"Evidence at protein level"
ENSG00000101109	STK4	"Serine/threonine kinase 4"	Q13043	"Evidence at protein level"
ENSG00000137868	STRA6	"Stimulated by retinoic acid 6"	Q9BX79	"Evidence at protein level"
ENSG00000266173	STRADA	"STE20-related kinase adaptor alpha"	Q7RTN6	"Evidence at protein level"
ENSG00000101846	STS	"Steroid sulfatase"	P08842	"Evidence at protein level"
ENSG00000134910	STT3A	"STT3A, catalytic subunit of the oligosaccharyltransferase complex"	P46977	"Evidence at protein level"
ENSG00000163527	STT3B	"STT3B, catalytic subunit of the oligosaccharyltransferase complex"	Q8TCJ2	"Evidence at protein level"
ENSG00000103266	STUB1	"STIP1 homology and U-box containing protein 1"	Q9UNE7	"Evidence at protein level"
ENSG00000136143	SUCLA2	"Succinate-CoA ligase ADP-forming beta subunit"	Q9P2R7	"Evidence at protein level"
ENSG00000163541	SUCLG1	"Succinate-CoA ligase alpha subunit"	P53597	"Evidence at protein level"
ENSG00000175600	SUGCT	"Succinyl-CoA:glutarate-CoA transferase"	Q9HAC7	"Evidence at protein level"
ENSG00000088002	SULT2B1	"Sulfotransferase family 2B member 1"	O00204	"Evidence at protein level"
ENSG00000139531	SUOX	"Sulfite oxidase"	P51687	"Evidence at protein level"
ENSG00000159082	SYNJ1	"Synaptojanin 1"	O43426	"Evidence at protein level"
ENSG00000102003	SYP	Synaptophysin	P08247	"Evidence at protein level"
ENSG00000067715	SYT1	"Synaptotagmin 1"	P21579	"Evidence at protein level"
ENSG00000169836	TACR3	"Tachykinin receptor 3"	P29371	"Evidence at protein level"
ENSG00000147133	TAF1	"TATA-box binding protein associated factor 1"	P21675	"Evidence at protein level"
ENSG00000177156	TALDO1	"Transaldolase 1"	P37837	"Evidence at protein level"
ENSG00000168394	TAP1	"Transporter 1, ATP binding cassette subfamily B member"	Q03518	"Evidence at protein level"
ENSG00000204267	TAP2	"Transporter 2, ATP binding cassette subfamily B member"	Q03519	"Evidence at protein level"
ENSG00000143374	TARS2	"Threonyl-tRNA synthetase 2, mitochondrial"	Q9BW92	"Evidence at protein level"
ENSG00000198650	TAT	"Tyrosine aminotransferase"	P17735	"Evidence at protein level"
ENSG00000136111	TBC1D4	"TBC1 domain family member 4"	O60343	"Evidence at protein level"
ENSG00000145348	TBCK	"TBC1 domain containing kinase"	Q8TEA7	"Evidence at protein level"
ENSG00000183735	TBK1	"TANK binding kinase 1"	Q9UHD2	"Evidence at protein level"
ENSG00000151790	TDO2	"Tryptophan 2,3-dioxygenase"	P48775	"Evidence at protein level"
ENSG00000156414	TDRD9	"Tudor domain containing 9"	Q8NDG6	"Evidence at protein level"
ENSG00000099797	TECR	"Trans-2,3-enoyl-CoA reductase"	Q9NZ01	"Evidence at protein level"
ENSG00000164362	TERT	"Telomerase reverse transcriptase"	O14746	"Evidence at protein level"
ENSG00000138336	TET1	"Tet methylcytosine dioxygenase 1"	Q8NFU7	"Evidence at protein level"
ENSG00000168769	TET2	"Tet methylcytosine dioxygenase 2"	Q6N021	"Evidence at protein level"
ENSG00000121101	TEX14	"Testis expressed 14, intercellular bridge forming factor"	Q8IWB6	"Evidence at protein level"
ENSG00000106327	TFR2	"Transferrin receptor 2"	Q9UP52	"Evidence at protein level"
ENSG00000072274	TFRC	"Transferrin receptor"	P02786	"Evidence at protein level"
ENSG00000088451	TGDS	"TDP-glucose 4,6-dehydratase"	O95455	"Evidence at protein level"
ENSG00000106799	TGFBR1	"Transforming growth factor beta receptor 1"	P36897	"Evidence at protein level"
ENSG00000163513	TGFBR2	"Transforming growth factor beta receptor 2"	P37173	"Evidence at protein level"
ENSG00000092295	TGM1	"Transglutaminase 1"	P22735	"Evidence at protein level"
ENSG00000125780	TGM3	"Transglutaminase 3"	Q08188	"Evidence at protein level"
ENSG00000104055	TGM5	"Transglutaminase 5"	O43548	"Evidence at protein level"
ENSG00000166948	TGM6	"Transglutaminase 6"	O95932	"Evidence at protein level"
ENSG00000166548	TK2	"Thymidine kinase 2, mitochondrial"	O00142	"Evidence at protein level"
ENSG00000163931	TKT	Transketolase	P29401	"Evidence at protein level"
ENSG00000038295	TLL1	"Tolloid like 1"	O43897	"Evidence at protein level"
ENSG00000168955	TM4SF20	"Transmembrane 4 L six family member 20"	Q53R12	"Evidence at protein level"
ENSG00000165091	TMC1	"Transmembrane channel like 1"	Q8TDI8	"Evidence at protein level"
ENSG00000141524	TMC6	"Transmembrane channel like 6"	Q7Z403	"Evidence at protein level"
ENSG00000167895	TMC8	"Transmembrane channel like 8"	Q8IU68	"Evidence at protein level"
ENSG00000143183	TMCO1	"Transmembrane and coiled-coil domains 1"	Q9UM00	"Evidence at protein level"
ENSG00000106460	TMEM106B	"Transmembrane protein 106B"	Q9NUM4	"Evidence at protein level"
ENSG00000134851	TMEM165	"Transmembrane protein 165"	Q9HC07	"Evidence at protein level"
ENSG00000127419	TMEM175	"Transmembrane protein 175"	Q9BSA9	"Evidence at protein level"
ENSG00000244045	TMEM199	"Transmembrane protein 199"	Q8N511	"Evidence at protein level"
ENSG00000095209	TMEM38B	"Transmembrane protein 38B"	Q9NVV0	"Evidence at protein level"
ENSG00000164953	TMEM67	"Transmembrane protein 67"	Q5HYA8	"Evidence at protein level"
ENSG00000175606	TMEM70	"Transmembrane protein 70"	Q9BUB7	"Evidence at protein level"
ENSG00000181585	TMIE	"Transmembrane inner ear"	Q8NEW7	"Evidence at protein level"
ENSG00000185973	TMLHE	"Trimethyllysine hydroxylase, epsilon"	Q9NVH6	"Evidence at protein level"
ENSG00000154646	TMPRSS15	"Transmembrane serine protease 15"	P98073	"Evidence at protein level"
ENSG00000160183	TMPRSS3	"Transmembrane serine protease 3"	P57727	"Evidence at protein level"
ENSG00000166682	TMPRSS5	"Transmembrane serine protease 5"	Q9H3S3	"Evidence at protein level"
ENSG00000187045	TMPRSS6	"Transmembrane serine protease 6"	Q8IU80	"Evidence at protein level"
ENSG00000139324	TMTC3	"Transmembrane and tetratricopeptide repeat containing 3"	Q6ZXV5	"Evidence at protein level"
ENSG00000118503	TNFAIP3	"TNF alpha induced protein 3"	P21580	"Evidence at protein level"
ENSG00000154310	TNIK	"TRAF2 and NCK interacting kinase"	Q9UKE5	"Evidence at protein level"
ENSG00000116783	TNNI3K	"TNNI3 interacting kinase"	Q59H18	"Evidence at protein level"
ENSG00000197579	TOPORS	"TOP1 binding arginine/serine rich protein"	Q9NS56	"Evidence at protein level"
ENSG00000141510	TP53	"Tumor protein p53"	P04637	"Evidence at protein level"
ENSG00000172315	TP53RK	"TP53 regulating kinase"	Q96S44	"Evidence at protein level"
ENSG00000111669	TPI1	"Triosephosphate isomerase 1"	P60174	"Evidence at protein level"
ENSG00000166340	TPP1	"Tripeptidyl peptidase 1"	O14773	"Evidence at protein level"
ENSG00000047410	TPR	"Translocated promoter region, nuclear basket protein"	P12270	"Evidence at protein level"
ENSG00000131323	TRAF3	"TNF receptor associated factor 3"	Q13114	"Evidence at protein level"
ENSG00000183763	TRAIP	"TRAF interacting protein"	Q9BWF2	"Evidence at protein level"
ENSG00000186439	TRDN	Triadin	Q13061	"Evidence at protein level"
ENSG00000118094	TREH	Trehalase	O43280	"Evidence at protein level"
ENSG00000213689	TREX1	"Three prime repair exonuclease 1"	Q9NSU2	"Evidence at protein level"
ENSG00000109654	TRIM2	"Tripartite motif containing 2"	Q9C040	"Evidence at protein level"
ENSG00000122779	TRIM24	"Tripartite motif containing 24"	O15164	"Evidence at protein level"
ENSG00000204713	TRIM27	"Tripartite motif containing 27"	P14373	"Evidence at protein level"
ENSG00000119401	TRIM32	"Tripartite motif containing 32"	Q13049	"Evidence at protein level"
ENSG00000197323	TRIM33	"Tripartite motif containing 33"	Q9UPN9	"Evidence at protein level"
ENSG00000152503	TRIM36	"Tripartite motif containing 36"	Q9NQ86	"Evidence at protein level"
ENSG00000108395	TRIM37	"Tripartite motif containing 37"	O94972	"Evidence at protein level"
ENSG00000038382	TRIO	"Trio Rho guanine nucleotide exchange factor"	O75962	"Evidence at protein level"
ENSG00000145331	TRMT10A	"TRNA methyltransferase 10A"	Q8TBZ6	"Evidence at protein level"
ENSG00000174173	TRMT10C	"TRNA methyltransferase 10C, mitochondrial RNase P subunit"	Q7L0Y3	"Evidence at protein level"
ENSG00000126814	TRMT5	"TRNA methyltransferase 5"	Q32P41	"Evidence at protein level"
ENSG00000100416	TRMU	"TRNA 5-methylaminomethyl-2-thiouridylate methyltransferase"	O75648	"Evidence at protein level"
ENSG00000072756	TRNT1	"TRNA nucleotidyl transferase 1"	Q96Q11	"Evidence at protein level"
ENSG00000138741	TRPC3	"Transient receptor potential cation channel subfamily C member 3"	Q13507	"Evidence at protein level"
ENSG00000137672	TRPC6	"Transient receptor potential cation channel subfamily C member 6"	Q9Y210	"Evidence at protein level"
ENSG00000134160	TRPM1	"Transient receptor potential cation channel subfamily M member 1"	Q7Z4N2	"Evidence at protein level"
ENSG00000130529	TRPM4	"Transient receptor potential cation channel subfamily M member 4"	Q8TD43	"Evidence at protein level"
ENSG00000119121	TRPM6	"Transient receptor potential cation channel subfamily M member 6"	Q9BX84	"Evidence at protein level"
ENSG00000092439	TRPM7	"Transient receptor potential cation channel subfamily M member 7"	Q96QT4	"Evidence at protein level"
ENSG00000111199	TRPV4	"Transient receptor potential cation channel subfamily V member 4"	Q9HBA0	"Evidence at protein level"
ENSG00000154743	TSEN2	"TRNA splicing endonuclease subunit 2"	Q8NCE0	"Evidence at protein level"
ENSG00000170892	TSEN34	"TRNA splicing endonuclease subunit 34"	Q9BSV6	"Evidence at protein level"
ENSG00000106025	TSPAN12	"Tetraspanin 12"	O95859	"Evidence at protein level"
ENSG00000156298	TSPAN7	"Tetraspanin 7"	P41732	"Evidence at protein level"
ENSG00000128881	TTBK2	"Tau tubulin kinase 2"	Q6IQ55	"Evidence at protein level"
ENSG00000155657	TTN	Titin	Q8WZ42	"Evidence at protein level"
ENSG00000104723	TUSC3	"Tumor suppressor candidate 3"	Q13454	"Evidence at protein level"
ENSG00000107815	TWNK	"Twinkle mtDNA helicase"	Q96RR1	"Evidence at protein level"
ENSG00000105397	TYK2	"Tyrosine kinase 2"	P29597	"Evidence at protein level"
ENSG00000130985	UBA1	"Ubiquitin like modifier activating enzyme 1"	P22314	"Evidence at protein level"
ENSG00000077721	UBE2A	"Ubiquitin conjugating enzyme E2 A"	P49459	"Evidence at protein level"
ENSG00000215218	UBE2QL1	"Ubiquitin conjugating enzyme E2 Q family like 1"	A1L167	"Evidence at protein level"
ENSG00000077152	UBE2T	"Ubiquitin conjugating enzyme E2 T"	Q9NPD8	"Evidence at protein level"
ENSG00000114062	UBE3A	"Ubiquitin protein ligase E3A"	Q05086	"Evidence at protein level"
ENSG00000151148	UBE3B	"Ubiquitin protein ligase E3B"	Q7Z3V4	"Evidence at protein level"
ENSG00000159459	UBR1	"Ubiquitin protein ligase E3 component n-recognin 1"	Q8IWV7	"Evidence at protein level"
ENSG00000154277	UCHL1	"Ubiquitin C-terminal hydrolase L1"	P09936	"Evidence at protein level"
ENSG00000175564	UCP3	"Uncoupling protein 3"	P55916	"Evidence at protein level"
ENSG00000109775	UFSP2	"UFM1 specific peptidase 2"	Q9NUQ7	"Evidence at protein level"
ENSG00000241635	UGT1A1	"UDP glucuronosyltransferase family 1 member A1"	P22309	"Evidence at protein level"
ENSG00000244474	UGT1A4	"UDP glucuronosyltransferase family 1 member A4"	P22310	"Evidence at protein level"
ENSG00000276043	UHRF1	"Ubiquitin like with PHD and ring finger domains 1"	Q96T88	"Evidence at protein level"
ENSG00000147854	UHRF2	"Ubiquitin like with PHD and ring finger domains 2"	Q96PU4	"Evidence at protein level"
ENSG00000168038	ULK4	"Unc-51 like kinase 4"	Q96C45	"Evidence at protein level"
ENSG00000114491	UMPS	"Uridine monophosphate synthetase"	P11172	"Evidence at protein level"
ENSG00000110057	UNC93B1	"Unc-93 homolog B1, TLR signaling regulator"	Q9H1C4	"Evidence at protein level"
ENSG00000076248	UNG	"Uracil DNA glycosylase"	P13051	"Evidence at protein level"
ENSG00000100024	UPB1	"Beta-ureidopropionase 1"	Q9UBR1	"Evidence at protein level"
ENSG00000100373	UPK3A	"Uroplakin 3A"	O75631	"Evidence at protein level"
ENSG00000140740	UQCRC2	"Ubiquinol-cytochrome c reductase core protein 2"	P22695	"Evidence at protein level"
ENSG00000159650	UROC1	"Urocanate hydratase 1"	Q96N76	"Evidence at protein level"
ENSG00000126088	UROD	"Uroporphyrinogen decarboxylase"	P06132	"Evidence at protein level"
ENSG00000188690	UROS	"Uroporphyrinogen III synthase"	P10746	"Evidence at protein level"
ENSG00000156256	USP16	"Ubiquitin specific peptidase 16"	Q9Y5T5	"Evidence at protein level"
ENSG00000184979	USP18	"Ubiquitin specific peptidase 18"	Q9UMW8	"Evidence at protein level"
ENSG00000273820	USP27X	"Ubiquitin specific peptidase 27, X-linked"	A6NNY8	"Evidence at protein level"
ENSG00000129204	USP6	"Ubiquitin specific peptidase 6"	P35125	"Evidence at protein level"
ENSG00000138592	USP8	"Ubiquitin specific peptidase 8"	P40818	"Evidence at protein level"
ENSG00000124486	USP9X	"Ubiquitin specific peptidase 9, X-linked"	Q93008	"Evidence at protein level"
ENSG00000114374	USP9Y	"Ubiquitin specific peptidase 9, Y-linked"	O00507	"Evidence at protein level"
ENSG00000124164	VAPB	"VAMP associated protein B and C"	O95292	"Evidence at protein level"
ENSG00000137411	VARS2	"Valyl-tRNA synthetase 2, mitochondrial"	Q5ST30	"Evidence at protein level"
ENSG00000165280	VCP	"Valosin containing protein"	P55072	"Evidence at protein level"
ENSG00000150630	VEGFC	"Vascular endothelial growth factor C"	P49767	"Evidence at protein level"
ENSG00000100749	VRK1	"Vaccinia related kinase 1"	Q99986	"Evidence at protein level"
ENSG00000140105	WARS	"Tryptophanyl-tRNA synthetase"	P23381	"Evidence at protein level"
ENSG00000116874	WARS2	"Tryptophanyl tRNA synthetase 2, mitochondrial"	Q9UGM6	"Evidence at protein level"
ENSG00000109501	WFS1	"Wolframin ER transmembrane glycoprotein"	O76024	"Evidence at protein level"
ENSG00000060237	WNK1	"WNK lysine deficient protein kinase 1"	Q9H4A3	"Evidence at protein level"
ENSG00000126562	WNK4	"WNK lysine deficient protein kinase 4"	Q96J92	"Evidence at protein level"
ENSG00000165392	WRN	"Werner syndrome RecQ like helicase"	Q14191	"Evidence at protein level"
ENSG00000047597	XK	"X-linked Kx blood group"	P51811	"Evidence at protein level"
ENSG00000122121	XPNPEP2	"X-prolyl aminopeptidase 2"	O43895	"Evidence at protein level"
ENSG00000196236	XPNPEP3	"X-prolyl aminopeptidase 3"	Q9NQH7	"Evidence at protein level"
ENSG00000103489	XYLT1	"Xylosyltransferase 1"	Q86Y38	"Evidence at protein level"
ENSG00000015532	XYLT2	"Xylosyltransferase 2"	Q9H1B5	"Evidence at protein level"
ENSG00000134684	YARS	"Tyrosyl-tRNA synthetase"	P54577	"Evidence at protein level"
ENSG00000139131	YARS2	"Tyrosyl-tRNA synthetase 2"	Q9Y2Z4	"Evidence at protein level"
ENSG00000136758	YME1L1	"YME1 like 1 ATPase"	Q96TA2	"Evidence at protein level"
ENSG00000115085	ZAP70	"Zeta chain of T cell receptor associated protein kinase 70"	P43403	"Evidence at protein level"
ENSG00000102383	ZDHHC15	"Zinc finger DHHC-type containing 15"	Q96MV8	"Evidence at protein level"
ENSG00000188706	ZDHHC9	"Zinc finger DHHC-type containing 9"	Q9Y397	"Evidence at protein level"
ENSG00000084073	ZMPSTE24	"Zinc metallopeptidase STE24"	O75844	"Evidence at protein level"
